,0
0,584.4446
1,729.52765
2,960.0697
3,1122.1665
4,1143.6555
5,1142.0125
6,1140.9698
7,1134.4037
8,1130.9644
9,1038.7627
10,897.1482
11,585.57166
12,-48095.926
13,749.2081
14,1002.2168
15,1126.0121
16,1144.1019
17,1142.7979
18,1140.7451
19,1133.893
20,1130.4594
21,1042.156
22,909.65967
23,624.95905
24,566.9265
25,748.17175
26,958.99097
27,1099.1846
28,1143.0308
29,1141.9885
30,1142.9896
31,1134.2583
32,1130.4084
33,1046.5845
34,933.1253
35,622.20636
36,561.67926
37,686.34094
38,991.8062
39,1125.3328
40,1143.508
41,1141.9735
42,1141.0502
43,1130.6969
44,1123.3337
45,1034.0735
46,940.5507
47,628.7203
48,565.3444
49,713.36255
50,1001.8382
51,1131.0397
52,1144.0822
53,1142.8195
54,1142.5942
55,1134.1741
56,1133.5049
57,1046.6301
58,929.5057
59,641.7217
60,635.51984
61,860.1925
62,987.5179
63,1126.3419
64,1144.0724
65,1142.0078
66,1140.8247
67,1133.6669
68,1129.1177
69,1050.9879
70,905.3165
71,612.91595
72,533.1577
73,703.75287
74,984.55084
75,1126.9365
76,1144.0417
77,1142.0299
78,1141.3999
79,1134.482
80,1129.851
81,1042.362
82,915.5288
83,658.87646
84,-196038.9
85,755.3751
86,999.07245
87,1110.9207
88,1143.4011
89,1141.9684
90,1140.0424
91,1130.6334
92,1129.5627
93,1040.7656
94,896.20087
95,641.6971
96,548.592
97,684.02954
98,995.0984
99,1127.0465
100,1143.6274
101,1142.0646
102,1142.059
103,1134.7872
104,1128.235
105,1036.0402
106,922.7914
107,-108062840.0
108,556.6747
109,781.79175
110,999.49634
111,1126.6337
112,1143.8042
113,1142.1085
114,1137.9116
115,1133.484
116,1133.1471
117,1042.1755
118,892.5556
119,602.05304
120,577.198
121,703.3198
122,1001.72485
123,1129.423
124,1143.8339
125,1143.106
126,1139.5785
127,1131.6769
128,1130.2771
129,1051.3628
130,923.63605
131,627.1163
132,581.9178
133,737.6797
134,1002.33295
135,1131.7661
136,1143.4773
137,1143.2865
138,1139.6276
139,1133.4689
140,1132.894
141,1048.0723
142,936.4118
143,605.5126
144,582.1925
145,765.1075
146,1007.01
147,1132.1167
148,1142.8098
149,1142.1799
150,1142.9966
151,1134.0703
152,1133.4669
153,1052.6818
154,916.40796
155,623.3661
156,593.87885
157,857.4359
158,1007.0214
159,1132.5966
160,1143.8129
161,1142.5325
162,1143.3712
163,1135.4601
164,1132.0734
165,1081.3226
166,946.2533
167,643.70667
168,-215863.33
169,746.6735
170,1006.9036
171,1130.8655
172,1143.023
173,1142.9163
174,1142.2246
175,1133.9719
176,1133.6255
177,1058.0095
178,896.0298
179,610.3354
180,584.8127
181,717.1293
182,999.4584
183,1129.7964
184,1142.5876
185,1142.1376
186,1139.679
187,1133.5311
188,1131.4421
189,1049.4807
190,922.28143
191,641.34015
192,580.9925
193,752.9018
194,999.92773
195,1125.5759
196,1144.1309
197,1141.9917
198,1142.9941
199,1135.4489
200,1130.8823
201,1048.8541
202,906.4675
203,642.5702
204,629.3847
205,834.6511
206,1004.4501
207,1130.9536
208,1144.134
209,1142.2076
210,1143.4921
211,1137.8738
212,1135.5017
213,1059.6414
214,925.56775
215,655.47107
216,595.0884
217,701.07446
218,1001.23505
219,1130.9191
220,1142.7458
221,1142.3916
222,1142.3353
223,1134.1166
224,1133.2925
225,1051.0317
226,902.2209
227,645.5072
228,585.24646
229,748.2624
230,991.8465
231,1132.1906
232,1141.8932
233,1142.5172
234,1142.3516
235,1136.2351
236,1134.4407
237,1062.9343
238,928.7858
239,687.40784
240,592.10187
241,-342288.66
242,1003.62616
243,1128.8494
244,1142.0846
245,1142.0289
246,1141.6211
247,1132.9644
248,1132.2015
249,1050.5839
250,911.57654
251,622.5072
252,553.52277
253,813.3822
254,1007.0109
255,1131.5925
256,1142.5248
257,1143.8848
258,1143.2982
259,1135.6808
260,1132.7716
261,1078.6051
262,933.7349
263,327.38058
264,591.71533
265,840.0504
266,1008.1801
267,1132.8689
268,1142.9089
269,1142.9044
270,1144.0537
271,1137.6111
272,1133.9736
273,1079.9305
274,943.5382
275,688.199
276,601.0977
277,817.34546
278,1007.18243
279,1135.5039
280,1141.891
281,1144.0509
282,1143.4021
283,1139.3774
284,1134.1042
285,1057.3246
286,948.30927
287,657.80176
288,651.0443
289,843.94507
290,1023.1236
291,1134.3806
292,1141.8578
293,1142.4775
294,1143.5225
295,1135.8955
296,1135.1223
297,1051.356
298,894.1618
299,639.81036
300,651.8592
301,857.2996
302,1008.59576
303,1132.0592
304,1142.0
305,1143.8126
306,1143.3721
307,1134.8641
308,1131.8499
309,1055.0992
310,902.62537
311,668.2547
312,-1964396.9
313,-2170881300.0
314,1006.6539
315,1132.1646
316,1142.5199
317,1142.3649
318,1143.3589
319,1135.3816
320,1134.3115
321,1063.5989
322,912.43915
323,654.03723
324,659.6064
325,835.1085
326,1007.9492
327,1134.333
328,1141.8665
329,1143.8744
330,1142.8257
331,1138.6658
332,1136.5433
333,1074.3479
334,928.33167
335,630.9627
336,649.48254
337,879.0824
338,1019.09595
339,1138.6434
340,1141.9485
341,1144.0748
342,1143.8278
343,1136.1188
344,1137.4772
345,1082.3977
346,912.2336
347,684.9427
348,602.9051
349,820.12665
350,1004.4512
351,1133.5719
352,1142.0093
353,1143.6893
354,1142.4753
355,1136.0809
356,1133.5211
357,1057.4707
358,890.80145
359,583.2618
360,602.9296
361,839.5307
362,1014.80237
363,1133.9155
364,1142.0923
365,1143.8898
366,1143.5543
367,1137.4858
368,1133.5352
369,1095.4427
370,984.8915
371,682.9977
372,637.5983
373,891.15985
374,1006.92255
375,1135.7479
376,1142.0049
377,1143.8346
378,1143.0486
379,1136.3187
380,1137.2303
381,1051.6923
382,935.4343
383,708.0421
384,685.68896
385,908.76654
386,1026.6047
387,1139.242
388,1141.9409
389,1143.6992
390,1143.5421
391,1139.9254
392,1135.5197
393,1103.5276
394,953.3509
395,687.71985
396,632.34735
397,838.9596
398,1009.0227
399,1140.5244
400,1142.0061
401,1143.8843
402,1142.0605
403,1136.9772
404,1136.338
405,1092.7284
406,964.43445
407,636.79535
408,635.9497
409,809.2158
410,1011.57794
411,1136.6328
412,1141.8774
413,1144.3218
414,1142.714
415,1143.4429
416,1141.5186
417,1089.0953
418,922.2049
419,712.76
420,648.4522
421,894.96606
422,1024.6128
423,1139.7571
424,1141.9075
425,1143.9344
426,1143.8778
427,1141.4344
428,1135.897
429,1084.7418
430,953.33386
431,693.6672
432,644.3691
433,884.2313
434,1023.6143
435,1135.1726
436,1141.9805
437,1143.9176
438,1143.4452
439,1140.7867
440,1136.4463
441,1105.9382
442,953.81024
443,689.93665
444,704.947
445,893.2468
446,1031.4034
447,1137.0421
448,1142.0204
449,1143.2231
450,1142.3042
451,1140.7917
452,1140.6519
453,1094.4039
454,969.08966
455,708.1058
456,753.4138
457,911.10333
458,1044.2089
459,1138.9476
460,1141.9647
461,1143.8336
462,1143.8988
463,1142.0231
464,1139.1589
465,1112.8145
466,959.93726
467,773.978
468,706.7217
469,901.10046
470,1011.31683
471,1136.003
472,1142.3866
473,1143.9619
474,1142.0376
475,1137.3824
476,1134.8632
477,1094.391
478,943.72156
479,720.2291
480,704.22144
481,895.83673
482,1040.3517
483,1138.827
484,1141.957
485,1143.7822
486,1143.9277
487,1138.9469
488,1139.1409
489,1089.7001
490,990.71796
491,850.98975
492,692.79877
493,889.6109
494,1024.3123
495,1139.0365
496,1142.1453
497,1144.1775
498,1143.9576
499,1141.2808
500,1139.9938
501,1115.057
