,0
0,462.37497
1,504.44882
2,574.33844
3,734.5207
4,784.38324
5,800.70715
6,781.7079
7,772.66785
8,755.0047
9,623.1295
10,551.09
11,462.40988
12,305.07278
13,506.82864
14,588.80133
15,741.7375
16,783.5774
17,804.8865
18,781.4279
19,769.39954
20,752.05646
21,625.8163
22,556.24384
23,481.50443
24,451.28397
25,506.8493
26,574.66504
27,713.0989
28,783.7509
29,801.6051
30,782.83105
31,771.5872
32,750.99146
33,628.2891
34,563.03394
35,480.78012
36,447.82147
37,498.49442
38,581.7681
39,741.24274
40,784.5872
41,800.7691
42,781.6214
43,752.2821
44,729.6867
45,620.9139
46,565.989
47,483.70316
48,450.57767
49,502.5858
50,588.5159
51,758.6121
52,783.6645
53,805.55664
54,782.49994
55,770.8777
56,767.5577
57,628.17694
58,562.27014
59,488.15817
60,486.0527
61,532.03064
62,580.02344
63,741.86755
64,783.63434
65,799.6746
66,781.62524
67,768.3905
68,745.051
69,632.5863
70,554.51294
71,476.25748
72,431.8295
73,500.70514
74,579.563
75,743.082
76,783.77484
77,799.9674
78,781.8866
79,772.7622
80,748.6309
81,625.4843
82,558.52637
83,493.57324
84,61072.23
85,507.4333
86,585.2737
87,722.7727
88,784.4149
89,800.94556
90,780.6563
91,751.57404
92,747.0915
93,623.92755
94,549.8794
95,488.14462
96,441.86368
97,498.20636
98,582.9762
99,743.39185
100,784.41565
101,795.7045
102,782.2098
103,773.74347
104,742.30597
105,621.32153
106,560.482
107,479.5122
108,445.62247
109,511.62613
110,585.89923
111,741.32355
112,784.17365
113,796.3536
114,778.4805
115,767.14874
116,766.52026
117,625.78076
118,547.90076
119,472.44052
120,458.21762
121,500.9969
122,588.037
123,752.2574
124,783.3374
125,805.0757
126,780.09216
127,756.94745
128,750.56415
129,632.72064
130,560.63165
131,482.40878
132,460.46872
133,505.71548
134,588.6677
135,764.1551
136,784.2881
137,806.99457
138,780.1012
139,766.6142
140,763.65375
141,629.9617
142,563.74457
143,473.44638
144,459.21103
145,508.76602
146,597.50024
147,764.09174
148,785.4341
149,802.38464
150,782.87036
151,770.7015
152,767.50195
153,634.6228
154,558.8946
155,481.1678
156,468.39474
157,531.166
158,596.80585
159,766.9851
160,783.59973
161,803.852
162,783.8189
163,775.2695
164,760.47797
165,662.6845
166,567.8424
167,488.02045
168,-4002.5684
169,506.26062
170,595.8455
171,758.35004
172,784.95135
173,805.23004
174,782.3702
175,770.24225
176,768.3472
177,640.01056
178,549.35376
179,475.41092
180,461.88113
181,502.74466
182,584.93427
183,754.77167
184,786.0789
185,795.79913
186,780.2763
187,766.9675
188,756.29034
189,630.37537
190,560.1267
191,487.27896
192,459.76813
193,507.05182
194,585.9064
195,738.98645
196,783.546
197,801.1604
198,782.91565
199,775.37805
200,753.9313
201,630.9662
202,554.7563
203,488.45877
204,483.7579
205,521.7459
206,592.2324
207,758.0543
208,783.7003
209,802.6179
210,783.12585
211,778.46277
212,775.5533
213,640.9133
214,560.90295
215,492.07822
216,468.40152
217,500.7091
218,587.5952
219,758.0681
220,785.82367
221,803.5636
222,782.3141
223,770.9692
224,765.83923
225,631.85944
226,553.61194
227,489.22348
228,462.17825
229,506.4878
230,581.4641
231,765.34125
232,788.3296
233,803.57477
234,782.212
235,776.4573
236,772.9254
237,643.36633
238,561.8763
239,497.72412
240,466.7099
241,659464300.0
242,590.67633
243,749.3102
244,787.53015
245,801.0587
246,782.0016
247,764.00146
248,760.9144
249,631.56256
250,556.81256
251,480.66187
252,444.60522
253,517.1131
254,597.67194
255,761.841
256,786.84564
257,811.969
258,783.6764
259,775.26746
260,762.9906
261,660.90656
262,563.1419
263,343.6605
264,466.89682
265,523.8558
266,601.1986
267,768.7387
268,785.4495
269,805.19495
270,783.145
271,778.3347
272,770.36633
273,662.28235
274,566.8501
275,498.1467
276,472.1703
277,517.6128
278,598.5459
279,777.20447
280,801.4243
281,812.52655
282,783.84766
283,779.8492
284,771.4722
285,638.71356
286,568.6823
287,492.86682
288,491.33844
289,525.27026
290,615.9075
291,774.3931
292,788.0507
293,803.8727
294,783.818
295,775.8936
296,774.80475
297,632.5837
298,548.10944
299,487.62378
300,491.93124
301,531.0277
302,600.8666
303,763.97253
304,793.9848
305,810.0672
306,783.8127
307,773.60376
308,758.4477
309,636.09863
310,554.5022
311,495.58337
312,30675.088
313,515.8628
314,595.6338
315,765.1576
316,786.4691
317,803.0021
318,783.8311
319,774.9394
320,771.9778
321,644.4247
322,557.47253
323,491.83038
324,494.36694
325,522.30884
326,599.4026
327,774.3076
328,787.90717
329,810.1746
330,782.72174
331,779.4909
332,777.3091
