,0
0,592.6078
1,598.51135
2,629.88794
3,749.4506
4,724.1571
5,705.3172
6,731.70074
7,743.39197
8,748.56775
9,648.72687
10,595.07916
11,584.1391
12,592.35583
13,596.1154
14,623.07654
15,752.5543
16,726.8135
17,705.4739
18,732.34625
19,745.50476
20,748.2602
21,657.56976
22,591.2689
23,582.6165
24,587.0852
25,596.556
26,618.01
27,755.4205
28,724.8184
29,699.2926
30,726.4851
31,742.59216
32,746.07306
33,644.0819
34,593.80206
35,589.89594
36,592.99756
37,596.44763
38,626.51764
39,751.9459
40,721.99133
41,703.6368
42,726.7307
43,737.32117
44,744.6229
45,655.8409
46,598.7623
47,582.6274
48,585.1007
49,593.7938
50,615.95807
51,752.1955
52,723.8197
53,699.52985
54,727.585
55,740.4413
56,745.7912
57,672.44946
58,592.8519
59,587.68317
60,592.0721
61,595.3998
62,618.20844
63,750.0414
64,722.0732
65,700.8176
66,725.93506
67,740.3112
68,742.6249
69,704.0481
70,598.5556
71,588.6124
72,585.94385
73,602.787
74,622.6203
75,749.7403
76,722.5194
77,700.9112
78,726.5045
79,737.9665
80,745.02747
81,668.20337
82,593.8519
83,582.40497
84,577.599
85,610.9845
86,630.2043
87,752.90466
88,725.66766
89,699.3021
90,726.25934
91,734.401
92,742.6056
93,726.3442
94,598.1193
95,585.815
96,595.3343
97,598.83954
98,625.7809
99,751.84283
100,727.76447
101,706.09436
102,727.3692
103,739.93066
104,746.33923
105,649.73175
106,594.4089
107,582.35175
108,590.2275
109,595.5277
110,633.3923
111,748.05896
112,720.2494
113,694.748
114,752260400000000.0
115,741.49866
116,747.478
117,673.6506
118,594.64307
119,586.7237
120,579.45605
121,589.14105
122,624.82074
123,755.2829
124,719.9267
125,690.7446
126,727.2712
127,737.03314
128,744.9642
129,654.4436
130,599.0083
131,583.4257
132,588.6814
133,596.83075
134,634.8913
135,748.81067
136,722.2793
137,704.9282
138,728.20856
139,734.692
140,741.6284
141,698.1302
142,599.35895
143,589.6452
144,595.7455
145,597.06744
146,629.34534
147,748.3995
148,721.4408
149,699.937
150,727.13806
151,740.7589
152,747.5863
153,642.63885
154,595.5555
155,589.8557
156,617.19824
157,595.82074
158,633.1135
159,749.72107
160,718.79584
161,705.8409
162,728.25134
163,739.57117
164,747.52203
165,692.23236
166,594.473
167,588.5097
168,576.9378
169,595.90594
170,625.0482
171,749.5532
172,720.8836
173,691.3359
174,728.1893
175,737.70636
176,745.5399
177,723.40753
178,599.2052
179,590.165
180,591.71387
181,594.77246
182,631.77203
183,742.0606
184,718.12933
185,692.1966
186,728.81506
187,737.65186
188,746.0712
189,671.787
190,595.0495
191,589.1028
192,593.36664
193,599.1567
194,628.968
195,744.23236
196,723.3572
197,699.43665
198,727.32294
199,739.25653
200,738.5435
201,730.16394
202,597.0886
203,605.98865
204,591.94336
205,598.7585
206,627.58624
207,750.43317
208,716.0816
209,689.95087
210,727.08624
211,736.8797
212,740.2204
213,690.2006
214,598.8107
215,587.00635
216,592.5804
217,600.05334
218,635.6374
219,742.623
220,713.7715
221,704.1043
222,727.9477
223,738.72473
224,742.8851
225,696.7262
226,602.96387
227,590.2154
228,3154003600000000.0
229,598.36206
230,635.2041
231,744.74304
232,717.155
233,694.15845
234,726.7147
235,738.0496
236,741.835
237,722.19446
238,598.3699
239,582.9489
240,592.5877
241,601.0089
242,634.98376
243,746.31903
244,721.7365
245,699.4446
246,727.5202
247,737.62933
248,741.6733
249,671.52783
250,591.6919
251,588.0332
252,593.9893
253,602.6247
254,632.21906
255,746.7132
256,710.325
257,685.1032
258,725.10706
259,729.68146
260,737.506
261,719.39056
262,600.9371
263,588.78796
264,591.2312
265,599.96594
266,640.9137
267,742.5066
268,712.25696
269,690.12573
270,727.2909
271,737.5561
272,740.12213
273,652.18207
274,599.91925
