,0
0,592.0728
1,595.2765
2,599.30725
3,602.0807
4,602.9669
5,603.1169
6,602.6773
7,602.3457
8,602.16956
9,600.7902
10,596.6821
11,591.5819
12,592.62823
13,594.68555
14,598.826
15,601.9804
16,602.8867
17,603.10394
18,602.72424
19,602.2949
20,602.16614
21,600.6104
22,596.8739
23,592.4014
24,591.6049
25,593.06537
26,599.1273
27,601.88306
28,603.0029
29,603.14545
30,602.87585
31,602.5799
32,602.467
33,600.8851
34,597.3568
35,592.58954
36,591.2928
37,479.46515
38,599.61475
39,602.30634
40,602.98096
41,603.108
42,602.66016
43,602.4452
44,602.2187
45,601.2466
46,598.5873
47,593.3124
48,591.8359
49,595.7853
50,599.4212
51,602.1478
52,602.9553
53,603.12787
54,602.84076
55,602.4625
56,602.3177
57,600.9471
58,597.3264
59,592.8966
60,591.0885
61,594.4334
62,599.05707
63,602.17676
64,602.9993
65,603.1109
66,602.64655
67,602.44025
68,602.246
69,600.9797
70,597.6686
71,592.16187
72,590.5236
73,594.78534
74,599.1404
75,602.19586
76,603.0546
77,603.092
78,602.8534
79,602.5514
80,602.2909
81,601.145
82,598.1236
83,593.6781
84,592.3064
85,595.0562
86,599.6626
87,602.2563
88,603.0232
89,603.1255
90,602.77
91,602.49384
92,602.4187
93,600.8519
94,597.51715
95,591.62775
96,2375.0798
97,594.39246
98,599.3262
99,602.09076
100,603.0179
101,603.0593
102,602.82935
103,602.4835
104,602.305
105,600.8921
106,598.264
107,593.361
108,591.4142
109,594.91394
110,599.7252
111,602.2647
112,603.04016
113,603.0547
114,602.7566
115,602.4616
116,602.4773
117,601.1493
118,597.65234
119,593.77606
120,592.594
121,595.5249
122,599.95184
123,602.3538
124,603.01086
125,603.07404
126,602.9069
127,602.56573
128,602.4738
129,601.0721
130,597.7129
131,594.17914
132,591.54675
133,595.22076
134,599.9171
135,602.418
136,603.0639
137,603.0845
138,602.8282
139,602.5825
140,602.45624
141,601.15436
142,597.3437
143,593.1362
144,590.4651
145,594.94586
146,599.65906
147,602.37933
148,603.04865
149,603.119
150,602.9003
151,602.57904
152,602.47516
153,601.0909
154,598.2254
155,594.35626
156,593.1723
157,595.0056
158,599.25494
159,602.13806
160,603.079
161,603.04254
162,602.84045
163,602.4614
164,602.3235
165,601.16675
166,598.0139
167,592.946
168,591.4915
169,594.9817
170,599.6419
171,602.42737
172,603.018
173,603.07153
174,602.8015
175,602.6137
176,602.41614
177,601.2384
178,598.1788
179,591.8781
180,591.7723
181,595.1361
182,600.04407
183,602.448
184,603.06464
185,603.104
186,602.9176
187,602.5562
188,602.48083
189,601.2914
190,597.93536
191,593.2428
192,590.2727
193,594.9809
194,599.7944
195,602.38654
196,603.0826
197,603.1426
198,602.91943
199,602.53375
200,602.52203
201,601.37537
202,598.6023
203,594.1946
204,593.02563
205,596.43585
206,600.3344
207,602.31104
208,603.089
209,603.06354
210,602.98706
211,602.6497
212,602.674
213,601.3121
