,0
0,624.6836
1,613.44806
2,658.90906
3,783.3916
4,744.95325
5,699.4104
6,773.2173
7,771.2025
8,765.6043
9,681.18066
10,605.03845
11,613.1097
12,620.15094
13,615.27014
14,644.0307
15,779.93823
16,752.3704
17,698.07513
18,775.3313
19,756.7238
20,763.40375
21,687.77454
22,598.84937
23,620.0596
24,625.2157
25,612.706
26,634.84625
27,766.82184
28,745.9412
29,685.45337
30,765.2955
31,766.2802
32,765.6064
33,677.2829
34,602.2459
35,613.9607
36,625.27985
37,610.516
38,647.7612
39,787.1819
40,738.30396
41,694.9079
42,765.6866
43,775.51746
44,769.32294
45,685.14996
46,607.0623
47,615.57715
48,617.25616
49,607.87146
50,627.7734
51,770.73206
52,744.08887
53,686.0209
54,769.0618
55,774.67535
56,772.63763
57,698.9827
58,600.558
59,616.5077
60,621.7892
61,614.13544
62,637.8864
63,779.98584
64,739.1242
65,689.6859
66,763.9669
67,773.5028
68,767.99164
69,702.3488
70,607.15576
71,610.8117
72,630.35333
73,618.88416
74,645.5967
75,777.9295
76,740.5419
77,687.9736
78,762.1613
79,776.4003
80,774.25586
81,695.7212
82,602.3544
83,617.18854
84,626.9804
85,626.8129
86,656.51117
87,772.8313
88,748.77203
89,683.98755
90,754.8863
91,771.15344
92,770.62103
93,712.82263
94,604.4653
95,612.56445
96,619.1351
97,615.1062
98,650.6585
99,780.80035
100,753.642
101,700.8431
102,768.3216
103,764.9439
104,764.34076
105,684.0768
106,603.6412
107,614.7261
108,619.11194
109,610.14465
110,662.68915
111,782.53644
112,734.8977
113,677.6214
114,761.04395
115,766.45825
116,769.396
117,694.0894
118,598.5162
119,610.15894
120,624.203
121,608.57227
122,647.6841
123,779.9495
124,732.88684
125,666.0521
126,760.1539
127,774.24133
128,777.6233
129,686.3286
130,605.9292
131,604.71716
132,614.2244
133,611.1206
134,669.5095
135,780.0091
136,738.8749
137,697.2253
138,756.2551
139,772.3584
140,772.7017
141,702.70734
142,607.24414
143,612.68567
144,618.6841
145,612.0819
146,653.7067
147,788.77496
148,737.2731
149,685.8414
150,766.326
151,775.53613
152,765.29144
153,671.5978
154,603.34216
155,614.3074
156,658.0361
157,611.1797
158,661.4767
159,787.65344
160,731.1488
161,700.61316
162,766.89825
163,773.9013
164,764.8832
165,701.68005
166,602.72186
167,613.54626
168,633.2117
169,614.5745
170,650.4837
171,777.8963
172,735.68195
173,656.1518
174,762.41724
175,770.67017
176,779.41235
177,715.96674
178,607.97046
179,611.473
180,618.0702
181,608.60583
182,659.11804
183,786.3339
184,728.9997
185,672.7962
186,764.68695
187,776.51416
188,766.7165
189,694.8088
190,604.8747
191,612.54285
192,617.1836
193,611.13214
194,653.6895
195,791.06525
196,742.3077
197,685.20654
198,749.4509
199,772.17596
200,780.02246
201,720.3108
202,608.3369
203,632.4401
204,618.2822
205,612.3237
206,654.9813
207,790.91406
208,725.3426
209,663.8392
210,755.62665
211,775.45575
212,778.0438
213,697.8818
214,608.37665
215,617.04047
216,623.37665
217,613.87537
218,669.32916
219,790.63
220,720.0063
221,696.58295
222,764.4637
223,770.5634
224,775.8163
225,705.3975
226,614.05194
227,613.2958
228,616.3956
229,607.8357
230,663.6609
231,782.15295
232,727.4736
233,676.96533
234,766.6661
235,768.71124
236,773.5082
237,713.7747
238,607.86865
239,607.6241
240,614.7594
241,614.37305
242,667.6982
243,791.3796
244,737.4519
245,685.05255
246,768.854
247,774.89185
248,775.0213
249,696.93384
250,597.9283
251,613.1208
252,620.8829
253,615.0981
254,656.8
255,789.4592
256,714.6322
257,641.06726
258,753.23505
259,772.34235
260,776.57184
261,708.1556
262,607.62366
263,605.023
264,614.1967
265,610.7567
266,683.38275
267,790.92487
268,714.48676
269,668.2331
270,760.3336
271,769.3231
272,776.5368
273,687.9754
274,604.9379
275,609.80597
276,612.9443
277,618.74207
278,681.1616
279,793.46106
280,720.6702
281,660.0618
282,754.38416
283,769.57715
284,769.9092
285,694.8973
286,598.74744
287,616.7234
288,618.0825
289,616.4971
