,0
0,963.8532
1,879.2167
2,727.18713
3,728.07367
4,678.0797
5,638.76416
6,707.36346
7,711.4152
8,706.52484
9,674.3328
10,806.74255
11,930.8739
12,947.3918
13,905.3213
14,735.9701
15,724.71985
16,685.059
17,638.99384
18,709.13135
19,698.54193
20,704.2892
21,669.9141
22,806.8212
23,957.02814
24,972.0521
25,891.57465
26,743.43787
27,712.42145
28,678.5559
29,626.33276
30,697.3037
31,705.91156
32,705.37726
33,673.6973
34,800.9438
35,924.4534
36,965.8949
37,869.88025
38,723.1755
39,730.8942
40,672.5049
41,635.39594
42,698.27026
43,711.58307
44,708.6016
45,667.2397
46,776.1955
47,942.1393
48,947.896
49,861.0684
50,738.25275
51,715.54126
52,677.2291
53,626.93445
54,701.6293
55,713.4397
56,713.06287
57,673.2662
58,802.4976
59,936.13983
60,952.83185
61,894.7626
62,744.68256
63,724.9921
64,672.52124
65,630.2137
66,696.6572
67,711.1983
68,706.4567
69,669.99756
70,782.9435
71,906.4915
72,989.4104
73,887.298
74,737.26575
75,723.2465
76,673.77527
77,629.5458
78,693.809
79,712.81104
80,714.1253
81,670.5738
82,794.0958
83,948.007
84,985.5366
85,906.057
86,724.23444
87,718.9201
88,681.42896
89,625.94196
90,686.7341
91,707.0176
92,710.3119
93,665.5771
94,762.3141
95,924.8217
96,938.2008
97,865.39777
98,725.756
99,725.3245
100,686.17596
101,640.4997
102,700.90265
103,703.7896
104,704.457
105,671.61633
106,789.7942
107,940.1531
108,947.8004
109,866.3427
110,713.6292
111,726.26044
112,668.66754
113,620.58636
114,692.878
115,706.7571
116,708.5191
117,667.2038
118,766.8123
119,909.70746
120,975.3395
121,891.59094
122,733.7217
123,725.5027
124,667.01154
125,611.32385
126,691.7085
127,711.0302
128,717.27747
129,669.7266
130,766.4563
131,886.29895
132,930.70337
133,852.67816
134,712.6822
135,723.9665
136,672.8773
137,638.0477
138,687.5951
139,707.6754
140,710.3721
141,670.95325
142,766.85406
143,912.66376
144,929.7589
145,868.2099
146,723.61115
147,732.5304
148,671.23456
149,628.062
150,698.1706
151,713.37067
152,706.057
153,670.6167
154,774.7953
155,922.3274
156,1044.1619
157,865.327
158,713.9548
159,731.1391
160,665.8764
161,639.2304
162,698.6937
163,711.78174
164,704.67065
165,672.07104
166,791.88324
167,928.7703
168,1008.0721
169,906.46747
170,737.3194
171,721.9282
172,670.23627
173,604.8238
174,694.0379
175,708.62
176,718.1938
177,672.48615
178,769.4789
179,898.8502
180,938.1349
181,857.5636
182,715.33514
183,726.58765
184,663.69135
185,616.73016
186,696.1352
187,712.60077
188,706.7546
189,668.4372
190,787.4629
191,915.49506
192,931.3392
193,839.92816
194,717.70624
195,730.3332
196,675.8182
197,627.5409
