,0
0,333.77414
1,372.21902
2,507.3434
3,854.8964
4,690.19055
5,628.6541
6,786.52057
7,864.44525
8,865.04755
9,631.86536
10,456.14105
11,358.73062
12,283.47037
13,375.36118
14,530.7909
15,854.78925
16,718.4084
17,597.62537
18,750.4278
19,853.7437
20,867.08826
21,653.3445
22,440.771
23,355.38022
24,339.86197
25,370.19974
26,537.22876
27,860.92664
28,673.6969
29,601.5229
30,745.059
31,817.3844
32,865.1643
33,624.1093
34,443.8457
35,350.21457
36,346.16415
37,373.6663
38,544.4784
39,865.2403
40,723.4905
41,627.5466
42,729.04407
43,851.7309
44,867.8903
45,641.7642
46,468.27457
47,357.1638
48,344.03867
49,365.54935
50,522.24207
51,864.76306
52,705.934
53,594.5841
54,786.628
55,848.83923
56,856.4547
57,615.9235
58,440.05472
59,357.9177
60,346.27255
61,374.38846
62,546.5927
63,863.94086
64,688.6193
65,599.01715
66,750.47906
67,850.1083
68,853.2238
69,624.80634
70,460.2462
71,355.67557
72,350.74472
73,382.01996
74,536.7417
75,847.2177
76,692.42365
77,602.868
78,738.3695
79,842.99164
80,859.8013
81,646.3414
82,466.5315
83,355.70114
84,340.48312
85,378.50275
86,510.5528
87,863.82166
88,718.1445
89,587.2855
90,764.67236
91,829.0274
92,865.74347
93,626.8449
94,432.94
95,352.31448
96,359.01022
97,395.47897
98,529.68506
99,865.83997
100,654.29224
101,571.3518
102,761.1727
103,855.70355
104,868.9925
105,662.0804
106,454.50827
107,347.63193
108,338.01627
109,386.1021
110,552.30695
111,865.9228
112,676.89386
113,574.5661
114,785.2628
115,848.2443
116,866.10394
117,656.6596
118,441.29105
119,356.2535
120,342.3016
121,388.59674
122,545.494
123,865.9453
124,710.6107
125,582.9576
126,715.63055
127,814.47424
128,856.0852
129,649.10657
130,458.5622
131,356.16385
132,349.809
133,409.02728
134,554.4372
135,866.75464
136,660.9722
137,591.7563
138,752.201
139,862.6738
140,863.9254
141,689.7807
142,461.5526
143,356.4111
144,345.33157
145,391.65894
146,553.60284
147,864.86523
148,666.20105
149,594.3156
150,782.5231
151,857.5461
152,866.01135
153,627.75024
154,427.3965
155,359.2692
