,0
0,606.7247
1,615.5768
2,637.14276
3,703.50134
4,825.48486
5,849.66583
6,797.393
7,750.41327
8,723.8227
9,662.0346
10,626.1622
11,606.7298
12,587.2215
13,616.4203
14,644.35614
15,709.8563
16,830.0841
17,851.338
18,794.6895
19,742.6337
20,721.1143
21,663.5688
22,629.5238
23,609.5048
24,605.43115
25,616.4097
26,636.9824
27,688.7621
28,817.86
29,850.507
30,815.6392
31,747.73517
32,720.38934
33,665.4101
34,633.1572
35,609.35706
36,605.2621
37,613.40216
38,641.40436
39,708.98444
40,824.01935
41,849.75165
42,797.1329
43,721.69763
44,702.5584
45,660.727
46,634.46063
47,609.8685
48,605.3666
49,614.8888
50,644.1813
51,725.9467
52,832.4321
53,851.37476
54,810.71783
55,746.0808
56,738.88837
57,665.39606
58,632.6307
59,610.75806
60,610.3185
61,622.0167
62,640.7037
63,710.35065
64,829.2386
65,848.8596
66,796.28894
67,740.478
68,715.5166
69,667.74133
70,627.9884
71,608.5874
72,602.72955
73,614.27844
74,640.2311
75,711.6019
76,829.14514
77,849.263
78,799.75476
79,750.7657
80,718.32654
81,663.5658
82,630.74603
83,611.8775
84,604.179
85,616.67883
86,643.03845
87,694.0517
88,822.5159
89,850.11
90,789.3904
91,721.3308
92,717.08344
93,662.7182
94,625.9084
95,610.7543
96,604.16943
97,613.2698
98,642.22614
99,711.83124
100,825.1121
101,846.98676
102,803.9942
103,753.45276
104,712.9768
105,661.12805
106,631.7785
107,611.93317
108,604.69244
109,617.84674
110,643.08765
111,710.3814
112,826.8829
113,847.1557
114,774.6821
115,738.45905
116,736.8987
117,663.57764
118,625.2711
119,607.9211
120,606.2516
121,614.3197
122,644.1814
123,719.23413
124,832.2729
125,851.43805
126,786.5596
127,726.8313
128,719.9408
129,667.8546
130,631.8981
131,609.67377
132,606.502
133,615.9749
134,644.42596
135,731.53845
136,835.0745
137,851.65283
138,786.63654
139,737.80505
140,733.8076
141,666.294
142,633.6273
143,608.07874
144,605.89996
145,617.0917
146,648.4333
147,732.21967
148,838.0595
149,850.81757
150,815.7951
151,745.5069
152,738.634
153,668.668
154,630.8854
155,609.42505
156,607.3845
157,621.8538
158,648.3855
159,735.9756
160,833.0255
161,851.198
